0	1	0.99
0	2	0.99
0	3	0.99
0	4	0.99
5	6	0.73
5	7	0.58
5	8	0.72
5	9	0.32
5	10	0.83
5	11	0.77
5	12	0.83
5	13	0.53
5	14	0.33
5	15	0.93
16	17	0.99
16	18	0.6
19	20	0.3
19	21	0.98
19	22	0.53
23	24	0.96
23	25	0.99
23	26	0.97
23	27	0.99
28	29	0.34
28	30	0.34
31	32	0.93
31	33	0.51
31	34	0.5
31	35	0.97
31	36	0.99
31	37	0.56
31	38	0.99
32	7	0.94
32	8	0.94
7	8	0.94
7	39	0.96
7	40	0.71
7	41	0.58
7	12	0.61
7	42	0.54
7	43	0.49
7	44	0.78
45	46	0.99
47	48	0.99
49	50	0.4
51	52	0.39
53	54	0.84
53	55	0.97
53	56	0.97
53	57	0.97
53	58	0.63
53	59	0.98
53	60	0.39
53	61	0.98
53	62	0.97
53	63	0.94
64	65	0.99
66	67	0.74
66	68	0.97
69	37	0.99
70	71	0.8
72	73	0.97
72	74	0.8
72	75	0.82
72	76	0.77
72	77	0.98
72	78	0.97
72	79	0.82
72	80	0.98
72	81	0.98
72	82	0.97
72	83	0.97
84	39	0.98
84	85	0.97
8	39	0.94
8	86	0.66
8	87	0.99
8	88	0.99
8	89	0.94
8	90	0.99
39	32	0.94
39	87	0.99
39	88	0.82
39	90	0.99
91	32	0.81
91	7	0.82
91	8	0.64
91	92	0.97
91	93	0.99
91	94	0.99
91	90	0.97
91	95	0.99
96	97	0.99
96	98	0.99
96	99	0.99
96	100	0.61
96	101	0.97
96	102	0.97
96	103	0.77
96	104	0.99
96	105	0.99
106	107	0.88
106	108	0.99
106	109	0.84
110	39	0.34
110	111	0.45
110	112	0.36
110	113	0.45
110	114	0.82
110	89	0.98
115	116	0.87
115	117	0.99
115	118	0.44
115	119	0.64
115	120	0.64
115	121	0.99
115	122	0.51
123	124	0.98
1	2	0.97
1	3	0.99
1	4	0.99
125	126	0.99
125	127	0.3
125	128	0.99
125	129	0.96
125	130	0.88
131	33	0.97
131	132	0.68
131	133	0.97
131	134	0.76
131	135	0.76
131	136	0.97
131	137	0.76
131	138	0.94
131	139	0.68
131	140	0.93
131	141	0.94
131	142	0.97
131	143	0.76
131	144	0.97
131	145	0.9
131	146	0.97
131	147	0.97
131	148	0.93
131	149	0.97
131	150	0.48
151	21	0.98
151	22	0.82
152	153	0.83
152	154	0.85
152	55	0.99
152	56	0.99
152	57	0.99
152	155	0.31
152	59	0.78
152	60	0.66
152	61	0.78
152	156	0.76
152	62	0.99
73	74	0.69
73	76	0.97
73	77	0.58
73	157	0.93
73	79	0.94
73	158	0.91
73	159	0.97
73	80	0.31
73	81	0.68
73	82	0.95
73	83	0.31
160	161	0.94
160	162	0.99
107	163	0.99
107	164	0.88
107	165	0.99
107	166	0.99
107	167	0.99
107	168	0.99
107	169	0.93
107	109	0.29
107	170	0.99
107	171	0.83
