0	1	0.99
0	2	0.99
0	3	0.3
0	4	0.99
0	5	0.99
6	7	0.73
6	8	0.58
6	9	0.72
6	10	0.32
6	3	0.51
6	11	0.77
6	12	0.83
6	13	0.53
6	14	0.33
6	15	0.93
16	8	0.63
16	17	0.99
16	18	0.99
16	19	0.99
16	20	0.99
16	21	0.99
16	22	0.99
16	23	0.99
24	25	0.99
24	26	0.99
24	27	0.7
24	28	0.36
29	30	0.99
29	31	0.73
29	32	0.6
33	34	0.83
35	36	0.3
35	37	0.98
35	38	0.53
39	40	0.99
39	41	0.97
42	43	0.33
42	44	0.99
42	45	0.94
42	46	0.96
42	47	0.99
42	48	0.97
42	49	0.99
50	51	0.99
50	52	0.73
50	53	0.99
50	54	0.89
55	56	0.93
55	57	0.51
55	58	0.99
55	34	0.99
56	8	0.94
56	9	0.94
56	59	0.99
8	60	0.77
8	9	0.94
8	61	0.96
8	62	0.71
8	63	0.58
8	12	0.61
8	64	0.32
8	65	0.93
8	66	0.78
67	68	0.82
69	70	0.99
71	72	0.67
71	73	0.99
74	75	0.99
76	77	0.4
78	79	0.39
80	81	0.84
80	82	0.97
80	83	0.97
80	84	0.97
80	85	0.63
80	86	0.98
80	87	0.39
80	88	0.98
80	89	0.97
80	90	0.94
91	92	0.99
60	93	0.99
60	65	0.99
94	8	0.73
94	61	0.58
94	95	0.99
96	97	0.74
96	98	0.97
96	99	0.88
100	101	0.8
102	103	0.97
102	104	0.8
102	105	0.82
102	106	0.77
102	3	0.4
102	107	0.98
102	108	0.97
102	109	0.82
102	110	0.82
102	111	0.98
102	112	0.98
102	113	0.97
102	114	0.98
102	115	0.97
116	117	0.98
116	83	0.29
116	118	0.84
116	119	0.85
9	61	0.94
9	120	0.99
9	121	0.94
9	122	0.94
9	123	0.99
61	56	0.94
61	124	0.99
61	120	0.99
61	121	0.94
61	64	0.32
61	125	0.28
61	126	0.29
61	123	0.99
127	128	0.28
129	56	0.81
129	8	0.82
129	9	0.64
129	130	0.97
129	131	0.99
129	132	0.99
129	123	0.97
129	133	0.99
134	24	0.49
134	135	0.99
134	136	0.99
134	137	0.99
134	138	0.61
134	139	0.99
134	140	0.97
134	141	0.3
134	142	0.97
134	143	0.77
134	144	0.99
134	145	0.99
146	147	0.88
146	148	0.99
146	149	0.5
146	150	0.84
151	61	0.34
151	152	0.34
151	153	0.45
151	154	0.45
151	155	0.36
151	156	0.45
151	157	0.82
151	122	0.98
158	159	0.87
158	160	0.99
158	161	0.97
158	162	0.99
158	163	0.96
158	164	0.99
158	165	0.96
158	166	0.99
167	168	0.99
167	169	0.87
167	170	0.97
167	171	0.98
43	128	0.94
43	172	0.99
43	97	0.94
43	173	0.97
43	174	0.99
43	175	0.72
43	176	0.94
43	177	0.99
1	2	0.97
1	4	0.99
1	5	0.99
1	178	0.86
179	180	0.99
179	181	0.3
179	182	0.99
179	183	0.96
